CompanyCd,CompanyNm,companyPartNames,ceoNm
20204225,이트라필름,"제작사,배급사",원태웅
20174721,(주)아티스트컴퍼니,"제작사,배급사",이상일
20192001,주식회사 세미콜론스튜디오,"제작사,배급사,수입사",김창욱
20174601,(주)위지윅스튜디오,"제작사,배급사","박인규, 조성완"
20231042,영화사빅,"제작사,배급사,수입사",박덕배
20231001,길갈,"배급사,수입사",김미영
20241622,빛소울,제작사,주현식
20241641,제이에이치프로덕션,제작사,신정화
20141331,주식회사 영화사 해강,제작사,윤나경
20125075,(주) 인스터 글로벌,"배급사,수입사",이진혁
20241567,스튜디오일오구이 주식회사,"제작사,배급사,수입사",이성재
20241578,소울필름,"제작사,배급사",김선영
20241621,주식회사 엠와이스튜디오,제작사,김은미
20062564,프로디지미디어,제작사,김효정
20241580,바뎀라인,제작사,염정원
20241579,호라스 필름 주식회사,"제작사,배급사",정재익
20241563,애그식렌,"배급사,수입사",학와수행헝거르졸
20191561,(주)영화특별시에스엠씨,"배급사,수입사",윤정한
20241577,(주)KNN미디어플러스,부가시장,이상진
20216601,(주)조르바필름,제작사,조민호
20241576,주식회사 스타일 라이프,,이미애
20241575,스튜디오 에스 에이지,부가시장,손영훈
20241574,주식회사 타겟커뮤니케이 션즈,부가시장,이시준
20241573,콘비전,부가시장,윤성진
20241572,클릭,부가시장,권구표
20172661,린오크리에이티브,제작사,배훈
20156549,(주)후컴퍼니,제작사,이상윤
20241571,주식회사 코업닷2,제작사,박희영
20241570,메디나인텔렉트 코리아 주식회사,"제작사,배급사",송병민
20231084,앤솔로지스튜디오(주),제작사,최재원
20228881,누구나,제작사,김태헌
20241584,주식회사 긴봄필름,제작사,박장춘
20239680,(주)아리아 스튜디오,"제작사,배급사,수입사,상영업",채수응
20125875,(주)프레인글로벌,"제작사,배급사,수입사",김평기
20153908,플레인 픽처스,제작사,한선희
20241568,(주)이씨에스 미디어,"제작사,배급사,수입사",박종일
20241562,허범욱 필름,제작사,허범욱
20241583,마켄필름아시아 유한회사,제작사,이인아
20241542,원더메이커,제작사,JEON JOOHEE
20241581,주식회사 프로젝트퀘스천,제작사,최은원
20241564,홍미디어,제작사,김주홍
20203701,(주)블루라벨픽쳐스,"제작사,배급사,수입사",최원영
20136916,사단법인 제천국제음악영화제,"제작사,배급사",김창규
20154810,(주)블러썸픽쳐스,제작사,이순규
20137895,(주)스튜디오 반달,제작사,김지인
20230454,스트로베리플렉스,제작사,오세경
20174841,(주)가온콘텐츠,"제작사,수입사",박숙희
20100807,(주)디씨지플러스,"제작사,배급사,제공",박현태
20123059,(주)그린로드픽쳐스,"제작사,배급사",박현태
20162183,주식회사 오디언스,"제작사,배급사,수입사,상영업",김시내
20218223,자연필름,"제작사,배급사,수입사",주병익
